Year,United Kingdom,England and Wales,England,Wales,Scotland,Northern Ireland
2020,10.3,10.2,10.1,11.8,11.7,9.3
2019,9.1,8.9,8.8,10.5,10.6,8.3
2018,9.3,9.2,9.0,11.0,10.8,8.5
2017,9.2,9.1,9.0,10.6,10.7,8.6
2016,9.1,9.0,8.9,10.6,10.5,8.3
2015,9.3,9.2,9.0,10.7,10.7,8.4
2014,8.8,8.7,8.6,10.2,10.1,8.0
2013,9.0,8.9,8.8,10.4,10.3,8.2
2012,8.9,8.8,8.7,10.2,10.3,8.1
2011,8.7,8.6,8.5,9.9,10.1,7.8
2010,8.9,8.9,8.8,10.2,10.3,8.0
2009,9.0,8.9,8.8,10.2,10.3,8.0
2008,9.4,9.3,9.2,10.6,10.7,8.4
2007,9.4,9.3,9.2,10.7,10.8,8.3
2006,9.4,9.3,9.2,10.4,10.7,8.3
2005,9.6,9.6,9.5,10.8,10.9,8.2
2004,9.8,9.7,9.6,10.9,11.1,8.4
2003,10.3,10.2,10.1,11.5,11.5,8.5
2002,10.2,10.2,10.1,11.4,11.5,8.6
2001,10.2,10.2,10.1,11.4,11.3,8.6
2000,10.4,10.3,10.2,11.5,11.4,8.9
1999,10.7,10.7,10.5,12.0,11.9,9.3
1998,10.7,10.7,10.6,11.7,11.7,8.9
1997,10.8,10.8,10.7,12.1,11.7,9.0
1996,11.0,11.0,10.9,12.0,11.9,9.2
1995,11.1,11.0,10.9,12.2,11.9,9.3
1994,10.8,10.8,10.7,11.7,11.6,9.2
1993,11.4,11.3,11.2,12.4,12.6,9.6
1992,11.0,11.0,10.9,11.7,12.0,9.2
1991,11.2,11.2,11.2,11.9,12.0,9.4
1990,11.2,11.2,11.1,11.9,12.1,9.7
1989,11.5,11.4,11.4,12.3,12.8,10.0
1988,11.4,11.4,11.3,12.0,12.2,10.0
1987,11.3,11.3,11.2,12.0,12.2,9.7
1986,11.7,11.6,11.5,12.3,12.4,10.2
1985,11.9,11.8,11.8,12.7,12.5,10.2
1984,11.4,11.4,11.3,12.0,12.1,10.1
1983,11.7,11.7,11.6,12.6,12.3,10.3
1982,11.8,11.7,11.7,12.5,12.6,10.3
1981,11.7,11.6,11.6,12.4,12.3,10.5
1980,11.7,11.7,11.6,12.5,12.2,11.0
1979,12.0,12.0,11.9,12.8,12.6,11.0
1978,11.9,11.9,11.7,12.8,12.5,10.6
1977,11.7,11.6,11.5,12.6,11.9,11.1
1976,12.1,12.1,12.0,13.0,12.5,11.2
1975,11.8,11.8,11.7,12.7,12.1,10.8
1974,11.9,11.8,11.7,12.8,12.4,11.3
1973,11.9,11.9,11.8,12.9,12.3,11.5
1972,12.0,12.0,11.9,13.1,12.4,11.1
1971,11.5,11.5,11.5,12.7,11.8,10.5
1970,11.8,11.8,:,:,12.2,10.8
1969,11.9,11.9,:,:,12.3,10.8
1968,11.9,11.9,:,:,12.2,10.6
1967,11.2,11.2,:,:,11.5,9.9
1966,11.8,11.8,:,:,12.2,11.1
1965,11.6,11.5,:,:,12.1,10.6
1964,11.3,11.3,:,:,11.7,10.5
1963,12.2,12.2,:,:,12.6,11.0
1962,11.9,12.0,:,:,12.2,10.6
1961,12.0,11.9,:,:,12.3,11.3
1960,11.5,11.5,:,:,11.9,:
1959,11.7,11.6,:,:,12.2,:
1958,11.7,11.7,:,:,12.1,:
1957,11.5,11.5,:,:,11.9,:
1956,11.7,11.7,:,:,12.1,:
1955,11.7,11.7,:,:,12.1,:
1954,11.4,11.3,:,:,12.0,:
1953,11.4,11.4,:,:,11.5,:
1952,:,:,:,:,12.1,:
1951,:,:,:,:,12.9,:
1950,:,:,:,:,12.5,:
